Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,PIT,,Paul Skenes,P,21,R / R,"CO
                    
                    
                    Louisiana State","$9,721,000","$9,200,000","$521,000"
1,2,WSH,,Dylan Crews,OF,21,R / R,"CO
                    
                    
                    Louisiana State","$8,998,500","$9,000,000","-$1,500"
1,3,DET,,Max Clark,OF,18,L / L,"HS
                    
                    
                    Franklin HS (IN)","$8,341,700","$7,697,500","$644,200"
1,4,TEX,,Wyatt Langford,OF,21,R / R,"CO
                    
                    
                    Florida","$7,698,000","$8,000,000","-$302,000"
1,5,MIN,,Walker Jenkins,OF,18,L / R,"HS
                    
                    
                    South Brunswick HS (NC)","$7,139,700","$7,144,200","-$4,500"
1,6,OAK,,Jacob Wilson,SS,21,R / R,"CO
                    
                    
                    Grand Canyon (AZ)","$6,634,000","$5,500,000","$1,134,000"
1,7,CIN,,Rhett Lowder,P,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$6,275,200","$5,700,000","$575,200"
1,8,KC,,Blake Mitchell,C,18,L / R,"HS
                    
                    
                    Sinton HS (TX)","$5,980,100","$4,897,500","$1,082,600"
1,9,COL,,Chase Dollander,P,21,R / R,"CO
                    
                    
                    Tennessee","$5,716,900","$5,716,900",
1,10,MIA,,Noble Meyer,P,18,R / R,"HS
                    
                    
                    Jesuit HS (OR)","$5,475,300","$4,500,000","$975,300"
1,11,LAA,,Nolan Schanuel,1B,21,L / R,"CO
                    
                    
                    Florida Atlantic","$5,253,000","$5,253,000",
1,12,ARI,,Tommy Troy,SS,21,R / R,"CO
                    
                    
                    Stanford (CA)","$5,043,800","$4,400,000","$643,800"
1,13,CHC,,Matt Shaw,SS,21,R / R,"CO
                    
                    
                    Maryland","$4,848,500","$4,848,500",
1,14,BOS,,Kyle Teel,C,21,L / R,"CO
                    
                    
                    Virginia","$4,663,100","$4,000,000","$663,100"
1,15,CHW,,Jacob Gonzalez,SS,21,L / R,"CO
                    
                    
                    Mississippi","$4,488,600","$3,900,000","$588,600"
1,16,SF,,Bryce Eldridge,TWP,18,L / L,"HS
                    
                    
                    Madison HS (VA)","$4,326,600","$3,997,500","$329,100"
1,17,BAL,,Enrique Bradfield Jr.,OF,21,L / L,"CO
                    
                    
                    Vanderbilt (TN)","$4,169,700","$4,169,700",
1,18,MIL,,Brock Wilken,3B,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$4,021,400","$3,150,000","$871,400"
1,19,TB,,Brayden Taylor,SS,21,L / R,"CO
                    
                    
                    Texas Christian","$3,880,100","$3,877,600","$2,500"
1,20,TOR,,Arjun Nimmala,SS,17,R / R,"HS
                    
                    
                    Strawberry Crest (FL)","$3,746,000","$3,000,000","$746,000"
1,21,STL,,Chase Davis,OF,21,L / L,"CO
                    
                    
                    Arizona","$3,618,200","$3,618,200",
1,22,SEA,,Colt Emerson,SS,18,L / R,"HS
                    
                    
                    Glenn HS (OH)","$3,496,600","$3,800,000","-$303,400"
1,23,CLE,,Ralphy Velazquez,C,18,L / R,"HS
                    
                    
                    Huntington Beach (CA)","$3,380,900","$2,500,000","$880,900"
1,24,ATL,,Hurston Waldrep,P,21,R / R,"CO
                    
                    
                    Florida","$3,270,500","$2,997,500","$273,000"
1,25,SD,,Dillon Head,OF,18,L / L,"HS
                    
                    
                    Homewood-Flossmoor HS (IL)","$3,165,400","$2,800,000","$365,400"
1,26,NYY,,George Lombard Jr.,SS,18,R / R,"HS
                    
                    
                    Gulliver Prep (FL)","$3,065,000","$3,300,000","-$235,000"
1,27,PHI,,Aidan Miller,3B,19,R / R,"HS
                    
                    
                    Mitchell HS (FL)","$2,968,800","$3,100,000","-$131,200"
1,28,HOU,,Brice Matthews,SS,21,R / R,"CO
                    
                    
                    Nebraska","$2,880,700","$2,478,200","$402,500"
1,29,SEA,PPI,Jonny Farmelo,OF,18,L / R,"HS
                    
                    
                    Westfield HS (VA)","$2,800,700","$3,200,000","-$399,300"
1,30,SEA,Comp. Bal.,Tai Peete,SS,17,L / R,"HS
                    
                    
                    Trinity Christian HS (GA)","$2,732,500","$2,500,000","$232,500"
1,31,TB,Comp. Bal.,Adrian Santana,SS,18,S / R,"HS
                    
                    
                    Doral Academy Prep HS (FL)","$2,670,600","$2,002,950","$667,650"
1,32,NYM,,Colin Houck,SS,18,R / R,"HS
                    
                    
                    Parkview HS (GA)","$2,607,500","$2,750,000","-$142,500"
1,33,MIL,Comp. Bal.,Josh Knoth,P,17,R / R,"HS
                    
                    
                    Patchogue-Medford HS (NY)","$2,543,800","$2,000,000","$543,800"
1,34,MIN,Comp. Bal.,Charlee Soto,P,17,S / R,"HS
                    
                    
                    Reborn Christian HS (FL)","$2,481,400","$2,481,400",
1,35,MIA,Comp. Bal.,Thomas White,P,18,L / L,"HS
                    
                    
                    Phillips Academy (MA)","$2,420,900","$4,100,000","-$1,679,100"
1,36,LAD,,Kendall George,OF,18,L / L,"HS
                    
                    
                    Atascocita HS (TX)","$2,362,700","$1,847,500","$515,200"
1,37,DET,Comp. Bal.,Kevin McGonigle,SS,18,L / R,"HS
                    
                    
                    Monsignor Bonner (PA)","$2,309,500","$2,847,500","-$538,000"
1,38,CIN,Comp. Bal.,Ty Floyd,P,21,R / R,"CO
                    
                    
                    Louisiana State","$2,255,100","$2,097,500","$157,600"
1,39,OAK,Comp. Bal.,Myles Naylor,3B,18,R / R,"HS
                    
                    
                    St. Joan of Arc Catholic SS (ON)","$2,202,500","$2,202,500",
2,40,WSH,,Yohandy Morales,3B,21,R / R,"CO
                    
                    
                    Miami (FL)","$2,144,700","$2,600,000","-$455,300"
2,41,OAK,,Ryan Lasko,OF,21,R / R,"CO
                    
                    
                    Rutgers (NJ)","$2,094,900","$1,700,000","$394,900"
2,42,PIT,,Mitch Jebb,SS,21,L / R,"CO
                    
                    
                    Michigan State","$2,045,900","$1,647,500","$398,400"
2,43,CIN,,Sammy Stafura,SS,18,R / R,"HS
                    
                    
                    Panas HS (NY)","$1,998,200","$2,497,500","-$499,300"
2,44,KC,,Blake Wolters,P,18,R / R,"HS
                    
                    
                    Mahomet-Seymour HS (IL)","$1,951,600","$2,800,000","-$848,400"
2,45,DET,,Max Anderson,2B,21,R / R,"CO
                    
                    
                    Nebraska","$1,906,200","$1,429,650","$476,550"
2,46,COL,,Sean Sullivan,P,20,R / L,"CO
                    
                    
                    Wake Forest (NC)","$1,868,400","$1,700,000","$168,400"
2,47,MIA,,Kemp Alderman,OF,20,R / R,"CO
                    
                    
                    Mississippi","$1,825,300","$1,400,000","$425,300"
2,48,ARI,,LuJames Groover,3B,21,R / R,"CO
                    
                    
                    North Carolina State","$1,783,000","$1,783,000",
2,49,MIN,,Luke Keaschall,2B,20,R / R,"CO
                    
                    
                    Arizona State","$1,741,500","$1,500,000","$241,500"
2,50,BOS,,Nazzan Zanetello,SS,18,R / R,"HS
                    
                    
                    Christian Brothers HS (MO)","$1,698,000","$3,000,000","-$1,302,000"
2,51,CHW,,Grant Taylor,P,21,R / R,"CO
                    
                    
                    Louisiana State","$1,659,800","$1,659,800",
2,52,SF,,Walker Martin,SS,19,L / R,"HS
                    
                    
                    Eaton HS (CO)","$1,620,800","$2,997,500","-$1,376,700"
2,53,BAL,,Mac Horvath,3B,21,R / R,"CO
                    
                    
                    North Carolina","$1,582,900","$1,400,000","$182,900"
2,54,MIL,,Mike Boeve,3B,21,L / R,"CO
                    
                    
                    Nebraska-Omaha","$1,546,100","$1,250,000","$296,100"
2,55,TB,,Colton Ledbetter,OF,21,L / R,"CO
                    
                    
                    Mississippi State","$1,509,800","$1,297,500","$212,300"
2,56,NYM,,Brandon Sproat,P,22,R / R,"CO
                    
                    
                    Florida","$1,474,500","$1,474,500",
2,57,SEA,,Ben Williamson,3B,22,R / R,"CO
                    
                    
                    William & Mary (VA)","$1,436,500","$600,000","$836,500"
2,58,CLE,,Alex Clemmey,P,18,L / L,"HS
                    
                    
                    Bishop Hendricken HS (RI)","$1,402,600","$2,300,000","-$897,400"
2,59,ATL,,Drue Hackengerg,P,21,R / R,"CO
                    
                    
                    Virginia Tech","$1,369,300","$1,997,500","-$628,200"
2,60,LAD,,Jake Gelof,3B,21,R / R,"CO
                    
                    
                    Virginia","$1,336,900","$1,334,400","$2,500"
2,61,HOU,,Alonzo Tredwell,P,21,L / R,"CO
                    
                    
                    California-Los Angeles","$1,304,900","$1,497,500","-$192,600"
2,62,CLE,Comp. Bal.,Andrew Walters,P,22,R / R,"CO
                    
                    
                    Miami (FL)","$1,273,700","$955,275","$318,425"
2,63,BAL,Comp. Bal.,Jackson Baumeister,P,21,R / R,"CO
                    
                    
                    Florida State","$1,243,300","$1,605,100","-$361,800"
2,64,ARI,Comp. Bal.,Caden Grice,P,21,L / L,"CO
                    
                    
                    Clemson","$1,213,200","$1,250,000","-$36,800"
2,65,COL,Comp. Bal.,Cole Carrigg,C,21,S / R,"CO
                    
                    
                    San Diego State (CA)","$1,184,100","$1,300,000","-$115,900"
2,66,KC,Comp. Bal.,Carson Roccaforte,OF,21,L / L,"CO
                    
                    
                    Louisiana-Lafayette","$1,158,900","$897,500","$261,400"
2,67,PIT,Comp. Bal.,Zander Mueth,P,18,R / R,"HS
                    
                    
                    Belleville East HS (IL)","$1,128,200","$1,797,500","-$669,300"
2,68,CHC,Comp.,Jaxon Wiggins,P,21,R / R,"CO
                    
                    
                    Arkansas","$1,101,000","$1,401,500","-$300,500"
2,69,SF,Comp.,Joe Whitman,P,21,L / L,"CO
                    
                    
                    Kent State","$1,074,100","$805,575","$268,525"
2,70,ATL,Comp.,Cade Kuehler,P,21,R / R,"CO
                    
                    
                    Campbell (NC)","$1,047,500","$1,045,000","$2,500"
2,,LAA,,Forfeit,,-2,/,,-,-,
2,,TOR,,Forfeit,,-2,/,,-,-,
2,,STL,,Forfeit,,-2,/,,-,-,
2,,CHC,,Forfeit,,-2,/,,-,-,
2,,SD,,Forfeit,,-2,/,,-,-,
2,,PHI,,Forfeit,,-2,/,,-,-,
2,,TEX,,Forfeit,,-2,/,,-,-,
2,,NYY,,Forfeit,,-2,/,,-,-,
3,71,WSH,,Travis Sykora,P,19,R / R,"HS
                    
                    
                    Round Rock HS (TX)","$1,021,300","$2,600,000","-$1,578,700"
3,72,OAK,,Steven Echavarria,P,17,R / R,"HS
                    
                    
                    Millburn HS (NJ)","$1,005,700","$3,000,000","-$1,994,300"
3,73,PIT,,Garret Forrester,3B,21,R / R,"CO
                    
                    
                    Oregon State","$990,300","$772,500","$217,800"
3,74,CIN,,Hunter Hollan,P,21,L / L,"CO
                    
                    
                    Arkansas","$975,100","$597,500","$377,600"
3,75,KC,,Hiro Wyatt,P,18,R / R,"HS
                    
                    
                    Staples HS (CT)","$960,000","$1,497,500","-$537,500"
3,76,DET,,Paul Wilson,P,18,R / L,"HS
                    
                    
                    Lakeridge HS (OR)","$945,100","$1,697,500","-$752,400"
3,77,COL,,Jack Mahoney,P,21,R / R,"CO
                    
                    
                    South Carolina","$930,600","$925,000","$5,600"
3,78,MIA,,Brock Vradenburg,1B,21,L / R,"CO
                    
                    
                    Michigan State","$916,000","$916,000",
3,79,LAA,,Alberto Rios,3B,21,R / R,"CO
                    
                    
                    Stanford (CA)","$901,500","$847,500","$54,000"
3,80,ARI,,Jack Hurley,OF,21,L / R,"CO
                    
                    
                    Virginia Tech","$887,000","$887,000",
3,81,CHC,,Josh Rivera,3B,22,R / R,"CO
                    
                    
                    Florida","$872,400","$725,000","$147,400"
3,82,MIN,,Brandon Winokur,OF,18,R / R,"HS
                    
                    
                    Edison HS (CA)","$859,700","$1,500,000","-$640,300"
3,83,BOS,,Antonio Anderson,SS,18,S / R,"HS
                    
                    
                    North Atlanta HS (GA)","$846,800","$1,500,000","-$653,200"
3,84,CHW,,Seth Keener,P,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$833,900","$800,000","$33,900"
3,85,SF,,Cole Foster,SS,21,S / R,"CO
                    
                    
                    Auburn (AL)","$820,900","$747,500","$73,400"
3,86,BAL,,Kiefer Lord,P,21,R / R,"CO
                    
                    
                    Washington","$808,200","$760,000","$48,200"
3,87,MIL,,Eric Bitonti,SS,17,L / R,"HS
                    
                    
                    Aquinas HS (CA)","$796,200","$1,750,000","-$953,800"
3,88,TB,,Tre' Morgan,1B,21,L / L,"CO
                    
                    
                    Louisiana State","$783,800","$781,300","$2,500"
3,89,TOR,,Juaron Watts-Brown,P,21,R / R,"CO
                    
                    
                    Oklahoma State","$771,500","$1,002,785","-$231,285"
3,90,STL,,Travis Honeyman,OF,21,R / R,"CO
                    
                    
                    Boston College (MA)","$759,600","$700,000","$59,600"
3,91,NYM,,Nolan McLean,TWP,21,R / R,"CO
                    
                    
                    Oklahoma State","$747,600","$747,600",
3,92,SEA,,Teddy McGraw,P,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$736,400","$600,000","$136,400"
3,93,CLE,,C.J. Kayfus,OF,21,L / L,"CO
                    
                    
                    Miami (FL)","$725,300","$700,000","$25,300"
3,94,ATL,,Sabin Ceballos,C,20,R / R,"CO
                    
                    
                    Oregon","$714,100","$597,500","$116,600"
3,95,LAD,,Brady Smith,P,18,R / R,"HS
                    
                    
                    Grainger HS (TN)","$705,500","$703,000","$2,500"
3,96,SD,,J.D. Gonzalez,P,17,L / R,"HS
                    
                    
                    Anita Otero Hernandes HS (PR)","$698,600","$550,000","$148,600"
3,97,NYY,,Kyle Carr,P,21,L / L,"JC
                    
                    
                    Palomar JC (CA)","$692,000","$692,000",
3,98,PHI,,Devin Saltiban,OF,18,R / R,"HS
                    
                    
                    Hilo HS (HI)","$685,100","$602,500","$82,600"
3,99,HOU,,Jake Bloss,P,22,R / R,"CO
                    
                    
                    Georgetown (DC)","$678,500","$497,500","$181,000"
3,100,BAL,Comp.,Tavian Josenberger,OF,21,S / R,"CO
                    
                    
                    Arkansas","$671,800","$603,000","$68,800"
3,101,NYM,Comp.,Kade Morris,P,21,R / R,"CO
                    
                    
                    Nevada","$666,500","$666,500",
3,,TEX,,Forfeit,,-2,/,,-,-,
4,102,WSH,,Andrew Pinckney,OF,22,R / R,"CO
                    
                    
                    Alabama","$660,000","$500,000","$160,000"
4,103,OAK,,Cole Miller,P,18,R / R,"HS
                    
                    
                    Newbury Park HS (CA)","$653,300","$1,000,000","-$346,700"
4,104,PIT,,Carlson Reed,P,20,L / R,"CO
                    
                    
                    West Virginia","$646,900","$597,500","$49,400"
4,105,CIN,,Cole Schoenwetter,P,18,R / R,"HS
                    
                    
                    San Marcos HS (CA)","$640,300","$1,897,000","-$1,256,700"
4,106,KC,,Hunter Owen,P,21,R / L,"CO
                    
                    
                    Vanderbilt (TN)","$634,200","$631,700","$2,500"
4,107,DET,,Carson Rucker,3B,18,R / R,"HS
                    
                    
                    Goodpasture Christian School (TN)","$627,900","$772,500","-$144,600"
4,108,TEX,,Skylar Hales,P,21,R / R,"CO
                    
                    
                    Santa Clara","$621,700","$565,000","$56,700"
4,109,COL,,Isaiah Coupet,P,20,L / L,"CO
                    
                    
                    Ohio State","$615,500","$600,000","$15,500"
4,110,MIA,,Emmett Olson,P,21,L / L,"CO
                    
                    
                    Nebraska","$609,600","$460,000","$149,600"
4,111,LAA,,Joe Redfield,OF,21,L / R,"CO
                    
                    
                    Sam Houston State (TX)","$603,600","$472,500","$131,100"
4,112,ARI,,Grayson Hitt,P,21,R / L,"CO
                    
                    
                    Alabama","$597,500","$1,200,000","-$602,500"
4,113,CHC,,Will Sanders,P,21,L / R,"CO
                    
                    
                    South Carolina","$591,800","$600,000","-$8,200"
4,114,MIN,,Tanner Hall,P,21,R / R,"CO
                    
                    
                    Southern Mississippi","$586,000","$510,000","$76,000"
4,115,BOS,,Matt Duffy,P,21,L / R,"CO
                    
                    
                    Canisius College (NY)","$580,200","$350,000","$230,200"
4,116,CHW,,Calvin Harris,C,21,L / R,"CO
                    
                    
                    Mississippi","$574,600","$600,000","-$25,400"
4,117,SF,,Maui Ahuna,SS,21,L / R,"CO
                    
                    
                    Tennessee","$569,100","$497,500","$71,600"
4,118,BAL,,Levi Wells,P,21,R / R,"CO
                    
                    
                    Texas State","$563,600","$500,000","$63,600"
4,119,MIL,,Jason Woodward,P,21,R / R,"CO
                    
                    
                    Florida Gulf Coast","$557,900","$247,500","$310,400"
4,120,TB,,Hunter Haas,SS,21,R / R,"CO
                    
                    
                    Texas A&M","$552,500","$534,000","$18,500"
4,121,TOR,,Landen Maroudis,P,18,R / R,"HS
                    
                    
                    Calvary Christian HS (FL)","$547,100","$1,500,000","-$952,900"
4,122,STL,,Quinn Mathews,P,22,L / L,"CO
                    
                    
                    Stanford (CA)","$541,700","$600,000","-$58,300"
4,123,NYM,,Wyatt Hudepohl,P,21,R / R,"CO
                    
                    
                    North Carolina-Charlotte","$536,500","$500,000","$36,500"
4,124,SEA,,Aidan Smith,OF,18,R / R,"HS
                    
                    
                    Lovejoy HS (TX)","$531,300","$1,200,000","-$668,700"
4,125,CLE,,Cooper Ingle,C,21,L / R,"CO
                    
                    
                    Clemson","$526,200","$400,000","$126,200"
4,126,ATL,,Garrett Baumann,P,18,L / R,"HS
                    
                    
                    Hagerty HS (FL)","$521,800","$747,500","-$225,700"
4,127,LAD,,Wyatt Crowell,P,21,L / L,"CO
                    
                    
                    Florida State","$516,800","$647,500","-$130,700"
4,128,SD,,Homer Bush Jr.,OF,21,R / R,"CO
                    
                    
                    Grand Canyon University","$511,600","$511,600",
4,129,NYY,,Roc Riggio,2B,21,L / R,"CO
                    
                    
                    Oklahoma State","$506,800","$693,000","-$186,200"
4,130,PHI,,TayShaun Walton,OF,18,R / R,"HS
                    
                    
                    IMG Academy (FL)","$501,600","$499,100","$2,500"
4,131,HOU,,Cam Fisher,OF,22,L / R,"CO
                    
                    
                    North Carolina-Charlotte","$497,600","$497,600",
4,132,BOS,Comp.,Kristian Campbell,SS,21,R / R,"CO
                    
                    
                    Georgia Tech","$492,700","$492,700",
4,133,BOS,Comp.,Justin Riemer,SS,21,R / R,"CO
                    
                    
                    Wright State (OH)","$487,800","$500,000","-$12,200"
4,134,NYM,Comp.,A.J. Ewing,SS,21,L / R,"HS
                    
                    
                    Springboro HS (OH)","$483,000","$675,000","-$192,000"
4,135,NYM,Comp.,Austin Troesser,SS,21,R / R,"CO
                    
                    
                    Missouri","$478,200","$350,000","$128,200"
4,136,LAD,Comp.,Dylan Campbell,OF,21,R / R,"CO
                    
                    
                    Texas","$473,700","$500,000","-$26,300"
4,137,LAD,Comp.,Eriq Swan,P,21,R / R,"CO
                    
                    
                    Middle Tennessee State","$469,000","$466,500","$2,500"
5,138,WSH,,Marcus Brown,SS,21,L / R,"CO
                    
                    
                    Oklahoma State","$464,400","$350,000","$114,400"
5,139,OAK,,Nathan Dettmer,P,21,R / R,"CO
                    
                    
                    Texas A&M","$459,800","$425,000","$34,800"
5,140,PIT,,Patrick Reilly,P,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$455,600","$453,100","$2,500"
5,141,CIN,,Connor Burns,C,21,R / R,"CO
                    
                    
                    California State-Long Beach","$451,100","$448,600","$2,500"
5,142,KC,,Spencer Nivens,OF,21,L / R,"CO
                    
                    
                    Missouri State","$446,700","$472,500","-$25,800"
5,143,DET,,Jaden Hamm,P,20,R / R,"CO
                    
                    
                    Middle Tennessee State","$442,200","$397,500","$44,700"
5,144,TEX,,Alejandro Rosario,P,21,R / R,"CO
                    
                    
                    Miami (FL)","$437,900","$437,900",
5,145,COL,,Kyle Karros,3B,20,R / R,"CO
                    
                    
                    California-Los Angeles","$433,500","$433,500",
5,146,MIA,,Andrew Lindsey,P,23,R / R,"CO
                    
                    
                    Tennessee","$429,400","$340,000","$89,400"
5,147,LAA,,Chris Clark,P,21,R / R,"CO
                    
                    
                    Harvard","$425,100","$318,825","$106,275"
5,148,ARI,,Kevin Sim,3B,21,R / R,"CO
                    
                    
                    San Diego (CA)","$421,100","$375,000","$46,100"
5,149,CHC,,Michael Carico,C,20,L / R,"CO
                    
                    
                    Davidson (NC)","$416,900","$400,000","$16,900"
5,150,MIN,,Dylan Questad,P,18,R / R,"HS
                    
                    
                    Waterford HS (WI)","$412,600","$500,000","-$87,400"
5,151,BOS,,Connelly Early,P,21,L / L,"CO
                    
                    
                    Virginia","$408,500","$408,500",
5,152,CHW,,Christian Oppor,P,18,L / L,"JC
                    
                    
                    Gulf Coast State JC (FL)","$404,700","$550,000","-$145,300"
5,153,SF,,Quinn McDaniel,2B,20,R / R,"CO
                    
                    
                    Maine","$400,600","$300,450","$100,150"
5,154,BAL,,Jake Cunningham,OF,21,R / R,"CO
                    
                    
                    North Carolina-Charlotte","$396,700","$375,000","$21,700"
