Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,DET,,Casey Mize,SP,21,R / R,"CO
                    
                    
                    Auburn (AL)","$8,096,300","$7,500,000","$596,300"
1,2,SF,,Joey Bart,C,21,R / R,"CO
                    
                    
                    Georgia Tech","$7,494,600","$7,025,000","$469,600"
1,3,PHI,,Alec Bohm,3B,21,R / R,"CO
                    
                    
                    Wichita State (KS)","$6,947,500","$5,850,000","$1,097,500"
1,4,CHW,,Nick Madrigal,2B,21,R / R,"CO
                    
                    
                    Oregon State","$6,411,400","$6,411,400",
1,5,CIN,,Jonathan India,3B,21,R / R,"CO
                    
                    
                    Florida","$5,946,400","$5,300,000","$646,400"
1,6,NYM,,Jarred Kelenic,OF,19,L / L,"HS
                    
                    
                    Waukesha West HS (WI)","$5,525,200","$4,500,000","$1,025,200"
1,7,SD,,Ryan Weathers,P,18,R / L,"HS
                    
                    
                    Loretto HS (TN)","$5,226,500","$5,226,500",
1,8,ATL,,Carter Stewart,P,18,/,"HS
                    
                    
                    Eau Gallie HS (FL)","$4,980,700",Unsigned,
1,9,OAK,,Kyler Murray,OF,20,/,"CO
                    
                    
                    Oklahoma","$4,761,500","$4,660,000","$101,500"
1,10,PIT,,Travis Swaggerty,OF,20,L / L,"CO
                    
                    
                    South Alabama","$4,560,200","$4,400,000","$160,200"
1,11,BAL,,Grayson Rodriguez,P,18,/,"HS
                    
                    
                    Central Heights HS (TX)","$4,375,100","$4,300,000","$75,100"
1,12,TOR,,Jordan Groshans,SS,18,R / R,"HS
                    
                    
                    Magnolia HS (TX)","$4,200,900","$3,400,000","$800,900"
1,13,MIA,,Connor Scott,OF,18,/,"HS
                    
                    
                    Plant HS (FL)","$4,038,200","$4,038,200",
1,14,SEA,,Logan Gilbert,P,21,R / R,"CO
                    
                    
                    Stetson (FL)","$3,883,300","$3,883,800",-$500
1,15,TEX,,Cole Winn,P,18,/,"HS
                    
                    
                    Orange Lutheran HS (CA)","$3,738,500","$3,150,000","$588,500"
1,16,TB,,Matthew Liberatore,P,18,/,"HS
                    
                    
                    Mountain Ridge HS (AZ)","$3,603,500","$3,497,500","$106,000"
1,17,LAA,,Jordyn Adams,OF,18,R / R,"HS
                    
                    
                    Green Hope HS (NC)","$3,472,900","$4,100,000","-$627,100"
1,18,KC,,Brady Singer,SP,21,R / R,"CO
                    
                    
                    Florida","$3,349,300","$2,147,500","$1,201,800"
1,19,STL,,Nolan Gorman,3B,18,L / R,"HS
                    
                    
                    Sandra Day O'Connor HS (AZ)","$3,231,700","$3,231,700",
1,20,MIN,,Trevor Larnach,OF,21,L / R,"CO
                    
                    
                    Oregon State","$3,120,000","$2,550,000","$570,000"
1,21,MIL,,Brice Turang,SS,18,L / R,"HS
                    
                    
                    Santiago HS (CA)","$3,013,600","$3,411,100","-$397,500"
1,22,COL,,Ryan Rolison,P,21,R / L,"CO
                    
                    
                    Mississippi","$2,912,300","$2,912,300",
1,23,NYY,,Anthony Seigler,C,19,S / R,"HS
                    
                    
                    Cartersville HS (GA)","$2,815,900","$2,815,900",
1,24,CHC,,Nico Hoerner,2B,21,R / R,"CO
                    
                    
                    Stanford (CA)","$2,724,000","$2,724,000",
1,25,ARI,,Matt McLain,SS,18,/,"HS
                    
                    
                    Beckman HS (CA)","$2,636,400",Unsigned,
1,26,BOS,,Triston Casas,3B,18,L / R,"HS
                    
                    
                    American Heritage School (FL)","$2,552,800","$2,552,800",
