Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,PIT,,Henry Davis,C,21,/,"CO
                    
                    
                    Louisville","$8,415,300","$6,500,000","$1,915,300"
1,2,TEX,,Jack Leiter,SP,21,/,"CO
                    
                    
                    Vanderbilt (TN)","$7,789,900","$7,922,000","-$132,100"
1,3,DET,,Jackson Jobe,P,18,/,"HS
                    
                    
                    Hertiage Hall HS (OK)","$7,221,200","$6,900,000","$321,200"
1,4,BOS,,Marcelo Mayer,SS,18,/,"HS
                    
                    
                    Eastlake HS (CA)","$6,664,000","$6,664,000",
1,5,BAL,,Colton Cowser,OF,21,/,"CO
                    
                    
                    Sam Houston State (TX)","$6,180,700","$4,900,000","$1,280,700"
1,6,ARI,,Jordan Lawlar,SS,19,R / R,"HS
                    
                    
                    Jesuit College Prep (TX)","$5,742,900","$6,713,300","-$970,400"
1,7,KC,,Frank Mozzicato,P,18,/,"HS
                    
                    
                    East Catholic HS (CT)","$5,432,400","$3,547,500","$1,884,900"
1,8,COL,,Benny Montgomery,OF,18,/,"HS
                    
                    
                    Red Land HS (PA)","$5,176,900","$5,000,000","$176,900"
1,9,LAA,,Sam Bachman,P,21,/,"CO
                    
                    
                    Miami (OH)","$4,949,100","$3,847,500","$1,101,600"
1,10,NYM,,Kumar Rocker,P,21,/,"CO
                    
                    
                    Vanderbilt (TN)","$4,739,900",Unsigned,
1,11,WSH,,Brady House,SS,18,/,"HS
                    
                    
                    Winder-Barrow HS (GA)","$4,547,500","$5,000,000","-$452,500"
1,12,SEA,,Harry Ford,C,18,/,"HS
                    
                    
                    North Cobb HS (GA)","$4,366,400","$4,366,400",
1,13,PHI,,Andrew Painter,P,18,/,"HS
                    
                    
                    Calvary Christian HS (FL)","$4,197,300","$3,900,000","$297,300"
1,14,SF,,Will Bednar,P,21,/,"CO
                    
                    
                    Mississippi State","$4,036,800","$3,647,500","$389,300"
1,15,MIL,,Sal Frelick,SS,21,/,"CO
                    
                    
                    Boston College (MA)","$3,885,800","$4,000,000","-$114,200"
1,16,MIA,,Khalil Watson,SS,18,/,"HS
                    
                    
                    Wake Forest HS (NC)","$3,745,500","$4,540,790","-$795,290"
1,17,CIN,,Matt McLain,SS,21,/,"CO
                    
                    
                    California-Los Angeles","$3,609,700","$4,625,000","-$1,015,300"
1,18,STL,,Michael McGreevy,P,21,/,"CO
                    
                    
                    California-Santa Barbara","$3,481,300","$2,750,000","$731,300"
1,19,TOR,,Gunnar Hoglund,P,21,/,"CO
                    
                    
                    Mississippi","$3,359,000","$3,247,500","$111,500"
1,20,NYY,,Trey Sweeney,SS,21,/,"CO
                    
                    
                    Eastern Illinois","$3,242,900","$3,000,000","$242,900"
1,21,CHC,,Jordan Wicks,P,21,/,"CO
                    
                    
                    Kansas State","$3,132,300","$3,132,300",
1,22,CHW,,Colson Montgomery,SS,19,/,"HS
                    
                    
                    Southridge HS (IN)","$3,027,000","$3,027,000",
1,23,CLE,,Gavin Williams,P,21,L / R,"CO
                    
                    
                    East Carolina (NC)","$2,926,800","$2,250,000","$676,800"
1,24,ATL,,Ryan Cusick,P,21,/,"CO
                    
                    
                    Wake Forest (NC)","$2,831,300","$2,700,000","$131,300"
1,25,OAK,,Max Muncy,SS,18,/,"HS
                    
                    
                    Thousand Oaks HS (CA)","$2,740,300","$2,850,000","-$109,700"
1,26,MIN,,Chase Petty,P,18,/,"HS
                    
                    
                    Mainland Regional HS (NJ)","$2,653,400","$2,500,000","$153,400"
1,27,SD,,Jackson Merrill,SS,18,/,"HS
                    
                    
                    Severna Park HS (MD)","$2,570,100","$1,800,000","$770,100"
1,28,TB,,Carson Williams,SS,18,/,"HS
                    
                    
                    Torrey Pines HS (CA)","$2,493,900","$2,347,500","$146,400"
1,29,LAD,,Maddux Bruns,P,19,/,"HS
                    
                    
                    UMS-Wright Prep (AL)","$2,424,600","$2,197,500","$227,100"
1,30,CIN,Comp.,Jay Allen II,OF,18,/,"HS
                    
                    
                    Carroll Catholic HS (FL)","$2,365,500","$2,397,500","-$32,000"
1,31,MIA,Comp. Bal.,Joe Mack,C,18,/,"HS
                    
                    
                    Williamsville East HS (NY)","$2,312,000","$2,500,000","-$188,000"
1,32,DET,Comp. Bal.,Ty Madden,P,21,/,"CO
                    
                    
                    Texas","$2,257,300","$2,500,000","-$242,700"
1,33,MIL,Comp. Bal.,Tyler Black,2B,20,/,"CO
                    
                    
                    Wright State (OH)","$2,202,200","$2,202,200",
1,34,TB,Comp. Bal.,Cooper Kinney,2B,18,/,"HS
                    
                    
                    Baylor HS (TN)","$2,148,100","$2,145,600","$2,500"
1,35,CIN,Comp. Bal.,Mat Nelson,C,22,/,"CO
                    
                    
                    Florida State","$2,095,800","$2,093,300","$2,500"
1,36,MIN,Comp. Bal.,Noah Miller,SS,18,/,"HS
                    
                    
                    Ozaukee HS (WI)","$2,045,400","$1,700,000","$345,400"
2,37,PIT,,Anthony Solometo,P,18,/,"HS
                    
                    
                    Bishop Eustace Prep HS (NJ)","$1,999,300","$2,797,500","-$798,200"
2,38,TEX,,Aaron Zavala,OF,21,/,"CO
                    
                    
                    Oregon","$1,952,300","$830,000","$1,122,300"
2,39,DET,,Izaac Pacheco,SS,18,/,"HS
                    
                    
                    Friendswood HS (TX)","$1,906,800","$2,750,000","-$843,200"
2,40,BOS,,Jud Fabian,OF,20,/,"CO
                    
                    
                    Florida","$1,856,700",Unsigned,
2,41,BAL,,Connor Norby,2B,21,/,"CO
                    
                    
                    East Carolina (NC)","$1,813,500","$1,700,000","$113,500"
2,42,ARI,,Ryan Bliss,SS,21,R / R,"CO
                    
                    
                    Auburn (AL)","$1,771,100","$1,250,000","$521,100"
2,43,KC,,Ben Kudrna,P,18,/,"HS
                    
                    
                    Blue Valley Southwest HS (KS)","$1,729,800","$2,997,500","-$1,267,700"
2,44,COL,,Jaden Hill,P,21,/,"CO
                    
                    
                    Louisiana State","$1,689,500","$1,689,500",
2,45,LAA,,Ky Bush,P,21,/,"CO
                    
                    
                    St. Mary's College (CA)","$1,650,200","$1,747,500","-$97,300"
2,46,NYM,,Calvin Ziegler,P,18,/,"HS
                    
                    
                    TNXL Academy (FL)","$1,617,400","$910,000","$707,400"
2,47,WSH,,Daylen Lile,OF,18,/,"HS
                    
                    
                    Trinity HS (KY)","$1,580,200","$1,750,000","-$169,800"
2,48,SEA,,Edwin Arroyo,SS,17,S / R,Central Pointe Christian Academy (F...,"$1,543,600","$1,650,000","-$106,400"
2,49,PHI,,Ethan Wilson,OF,21,/,"CO
                    
                    
                    South Alabama","$1,507,600","$1,507,600",
2,50,SF,,Matt Mikulski,P,22,/,"CO
                    
                    
                    Fordham","$1,469,900","$1,197,500","$272,400"
2,51,MIL,,Russell Smith,P,22,/,"CO
                    
                    
                    Texas Christian","$1,436,900","$1,000,000","$436,900"
2,52,MIA,,Cody Morissette,SS,21,/,"CO
                    
                    
                    Boston College (MA)","$1,403,200","$1,403,200",
2,53,CIN,,Andrew Abbott,P,22,/,"CO
                    
                    
                    Virginia","$1,370,400","$1,300,000","$70,400"
2,54,STL,,Joshua Baez,OF,18,/,"HS
                    
                    
                    Dexter Southfield HS (MA)","$1,338,500","$2,250,000","-$911,500"
2,55,NYY,,Brendan Beck,P,22,/,"CO
                    
                    
                    Stanford (CA)","$1,307,000","$1,050,000","$257,000"
2,56,CHC,,James Triantos,3B,18,/,"HS
                    
                    
                    Madison HS (VA)","$1,276,400","$2,100,000","-$823,600"
2,57,CHW,,Wes Kath,3B,18,/,"HS
                    
                    
                    Desert Mountain HS (AZ)","$1,243,600","$1,800,000","-$556,400"
2,58,CLE,,Doug Nikhazy,P,21,/,"CO
                    
                    
                    Mississippi","$1,214,300","$1,200,000","$14,300"
2,59,ATL,,Spencer Schwellenbach,P,21,/,"CO
                    
                    
                    Nebraska","$1,185,500","$997,500","$188,000"
2,60,OAK,,Zack Gelof,3B,21,/,"CO
                    
                    
                    Virginia","$1,157,400","$1,157,400",
2,61,MIN,,Steven Hajjar,P,20,/,"CO
                    
                    
                    Michigan","$1,129,700","$1,129,700",
2,62,SD,,James Wood,OF,18,/,"HS
                    
                    
                    IMG Academy (FL)","$1,102,700","$2,600,000","-$1,497,300"
2,63,TB,,Kyle Manzardo,1B,21,/,"CO
                    
                    
                    Washington State","$1,076,300","$747,500","$328,800"
