Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,BAL,,Adley Rutschman,C,21,R / R,"CO
                    
                    
                    Oregon State","$8,415,300","$8,100,000","$315,300"
1,2,KC,,Bobby Witt Jr.,SS,19,R / R,"HS
                    
                    
                    Colleyville Heritage HS (TX)","$7,789,900","$7,789,900",
1,3,CHW,,Andrew Vaughn,1B,21,R / R,"CO
                    
                    
                    California-Berkeley","$7,221,200","$7,221,200",
1,4,MIA,,J.J. Bleday,OF,21,L / L,"CO
                    
                    
                    Vanderbilt (TN)","$6,664,000","$6,670,000","-$6,000"
1,5,DET,,Riley Greene,OF,18,L / L,"HS
                    
                    
                    Hagerty HS (FL)","$6,180,700","$6,180,700",
1,6,SD,,CJ Abrams,SS,18,L / R,"HS
                    
                    
                    Blessed Trinity HS (GA)","$5,742,900","$5,200,000","$542,900"
1,7,CIN,,Nick Lodolo,P,21,L / L,"CO
                    
                    
                    Texas Christian","$5,432,400","$5,432,200",$200
1,8,TEX,,Josh Jung,3B,21,R / R,"CO
                    
                    
                    Texas Tech","$5,176,900","$4,400,000","$776,900"
1,9,ATL,,Shea Langeliers,C,21,R / R,"CO
                    
                    
                    Baylor (TX)","$4,949,100","$4,000,000","$949,100"
1,10,SF,,Hunter Bishop,OF,21,/,"CO
                    
                    
                    Arizona State","$4,739,900","$4,100,000","$639,900"
1,11,TOR,,Alek Manoah,P,21,R / R,"CO
                    
                    
                    West Virginia","$4,547,500","$4,547,500",
1,12,NYM,,Brett Baty,3B,19,/,"HS
                    
                    
                    Lake Travis HS (TX)","$4,366,400","$3,900,000","$466,400"
1,13,MIN,,Keoni Cavaco,SS,18,/,"HS
                    
                    
                    Eastlake HS (CA)","$4,197,300","$4,050,000","$147,300"
1,14,PHI,,Bryson Stott,SS,21,L / R,"CO
                    
                    
                    Nevada-Las Vegas","$4,036,800","$3,900,000","$136,800"
1,15,LAA,,Will Wilson,SS,20,R / R,"CO
                    
                    
                    North Carolina State","$3,885,800","$3,400,000","$485,800"
