Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,MIN,,Royce Lewis,SS,18,R / R,"HS
                    
                    
                    JSerra Catholic HS (CA)","$7,770,700","$6,725,000","$1,045,700"
1,2,CIN,,Hunter Greene,P,17,R / R,"HS
                    
                    
                    Notre Dame HS (CA)","$7,193,200","$7,230,000","-$36,800"
1,3,SD,,MacKenzie Gore,P,18,L / L,"HS
                    
                    
                    Whiteville HS (NC)","$6,668,100","$6,700,000","-$31,900"
1,4,TB,,Brendan McKay,SP,21,L / L,"CO
                    
                    
                    Louisville (KY)","$6,153,600","$7,005,000","-$851,400"
1,5,ATL,,Kyle Wright,SP,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$5,707,300","$7,000,000","-$1,292,700"
1,6,OAK,,Austin Beck,OF,18,R / R,"HS
                    
                    
                    North Davidson HS (NC)","$5,303,000","$5,303,000",
1,7,ARI,,Pavin Smith,1B,21,L / L,"CO
                    
                    
                    Virginia","$5,016,300","$5,016,300",
1,8,PHI,,Adam Haseley,OF,21,L / L,"CO
                    
                    
                    Virginia","$4,780,400","$5,100,000","-$319,600"
1,9,MIL,,Keston Hiura,2B,20,R / R,"CO
                    
                    
                    California-Irvine","$4,570,000","$4,000,000","$570,000"
1,10,LAA,,Jo Adell,OF,18,R / R,"HS
                    
                    
                    Ballard HS (KY)","$4,376,800","$4,376,800",
1,11,CHW,,Jake Burger,3B,21,R / R,"CO
                    
                    
                    Missouri State","$4,199,200","$3,700,000","$499,200"
1,12,PIT,,Shane Baz,P,18,R / R,"HS
                    
                    
                    Concordia Lutheran HS (TX)","$4,032,000","$4,100,000","-$68,000"
1,13,MIA,,Trevor Rogers,SP,19,L / L,"HS
                    
                    
                    Carlsbad HS (NM)","$3,875,800","$3,400,000","$475,800"
1,14,KC,,Nick Pratto,1B,18,L / L,"HS
                    
                    
                    Huntington Beach HS (CA)","$3,727,600","$3,450,000","$277,600"
1,15,HOU,,J.B. Bukauskas,P,20,R / R,"CO
                    
                    
                    North Carolina","$3,588,200","$3,600,000","-$11,800"
1,16,NYY,,Clarke Schmidt,P,21,R / R,"CO
                    
                    
                    South Carolina","$3,458,600","$2,184,300","$1,274,300"
1,17,SEA,,Evan White,1B,21,R / L,"CO
                    
                    
                    Kentucky","$3,333,200","$3,125,000","$208,200"
1,18,DET,,Alex Faedo,P,21,R / R,"CO
                    
                    
                    Florida","$3,214,600","$3,500,000","-$285,400"
1,19,SF,,Heliot Ramos,OF,17,R / R,"HS
                    
                    
                    Leadership Christian Academy (PR)","$3,101,700","$3,101,700",
1,20,NYM,,David Peterson,SP,21,L / L,"CO
                    
                    
                    Oregon","$2,994,500","$2,994,500",
1,21,BAL,,D.L. Hall,P,18,L / L,"HS
                    
                    
                    Valdosta HS (GA)","$2,892,400","$3,000,000","-$107,600"
1,22,TOR,,Logan Warmoth,SS,21,R / R,"CO
                    
                    
                    North Carolina","$2,795,200","$2,820,200","-$25,000"
1,23,LAD,,Jeren Kendall,OF,21,/,"CO
                    
                    
                    Vanderbilt (TN)","$2,702,700","$2,900,000","-$197,300"
1,24,BOS,,Tanner Houck,SP,21,R / R,"CO
                    
                    
                    Missouri","$2,614,500","$2,614,500",
1,25,WSH,,Seth Romero,P,21,L / L,"CO
                    
                    
                    Houston","$2,530,400","$2,800,000","-$269,600"
1,26,TEX,,Bubba Thompson,OF,19,/,"HS
                    
                    
                    McGill-Toolen Catholic HS (AL)","$2,450,100","$2,100,000","$350,100"
1,27,CHC,,Brendon Little,P,20,/,"JC
                    
                    
                    State JC of Florida","$2,373,300","$2,200,000","$173,300"
1,28,TOR,,Nate Pearson,SP,20,R / R,"JC
                    
                    
                    JC of Central Florida","$2,302,900","$2,452,900","-$150,000"
1,29,TEX,,Chris Seise,SS,18,/,"HS
                    
                    
                    West Orange HS (FL)","$2,238,900","$2,000,000","$238,900"
1,30,CHC,,Alex Lange,P,21,R / R,"CO
                    
                    
                    Louisiana State","$2,184,300","$1,925,000","$259,300"
1,31,TB,,Drew Rasmussen,SP,21,R / R,"CO
                    
                    
                    Oregon State","$2,134,900",Unsigned,
1,32,CIN,,Jeter Downs,SS,18,R / R,"HS
                    
                    
                    Pace HS (FL)","$2,084,400","$1,822,500","$261,900"
1,33,OAK,,Kevin Merrell,SS,21,/,"CO
                    
                    
                    South Florida","$2,033,500","$1,800,000","$233,500"
1,34,MIL,,Tristen Lutz,OF,18,R / R,"HS
                    
                    
                    Martin HS (TX)","$1,983,600","$2,352,000","-$368,400"
1,35,MIN,,Brent Rooker,OF,22,R / R,"CO
                    
                    
                    Mississippi State","$1,935,300","$1,935,300",
1,36,MIA,,Brian Miller,OF,21,L / R,"CO
                    
                    
                    North Carolina","$1,888,800","$1,888,800",
2,37,MIN,,Landon Leach,P,18,/,"HS
                    
                    
                    Pickering HS (ON)","$1,846,100","$1,400,000","$446,100"
2,38,CIN,,Stuart Fairchild,OF,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$1,802,800","$1,800,300","$2,500"
2,39,SD,,Luis Campusano,C,18,R / R,"HS
                    
                    
                    Cross Creek HS (GA)","$1,760,700","$1,300,000","$460,700"
2,40,TB,,Michael Mercado,P,18,/,"HS
                    
                    
                    Westview HS (CA)","$1,714,500","$2,132,400","-$417,900"
2,41,ATL,,Drew Waters,OF,18,/ R,"HS
                    
                    
                    Etowah HS (GA)","$1,674,600","$1,500,000","$174,600"
2,42,PIT,,Steve Jennings,P,18,R / R,"HS
                    
                    
                    Dekalb County HS (TN)","$1,635,500","$1,900,000","-$264,500"
2,43,OAK,,Greg Deichmann,OF,22,L / R,"CO
                    
                    
                    Louisiana State","$1,597,300","$1,700,000","-$102,700"
2,44,ARI,,Drew Ellis,3B,21,R / R,"CO
                    
                    
                    Louisville","$1,560,100","$1,560,100",
2,45,PHI,,Spencer Howard,SP,20,R / R,"CO
                    
                    
                    California State Poly-San Luis Obis...","$1,523,800","$1,150,000","$373,800"
2,46,MIL,,Caden Lemons,P,18,/,"HS
                    
                    
                    Vestavia Hills HS (AL)","$1,493,500","$1,450,000","$43,500"
2,47,LAA,,Griffin Canning,SP,21,R / R,"CO
                    
                    
                    California-Los Angeles","$1,459,200","$1,459,200",
2,48,COL,,Ryan Vilade,3B,18,R / R,"HS
                    
                    
                    Stillwater HS (OK)","$1,425,400","$1,425,400",
2,49,CHW,,Gavin Sheets,1B,21,L / L,"CO
                    
                    
                    Wake Forest (NC)","$1,392,200","$2,000,000","-$607,800"
2,50,PIT,,Cal Mitchell,OF,18,L / L,"HS
                    
                    
                    Rancho Bernardo HS (CA)","$1,357,300","$1,357,300",
2,51,MIA,,Joseph Dunand,3B,21,R / R,"CO
                    
                    
                    North Carolina State","$1,326,800","$1,200,000","$126,800"
2,52,KC,,MJ Melendez,C,18,L / R,"HS
                    
                    
                    Westminster Christian (FL)","$1,295,700","$2,097,500","-$801,800"
2,53,HOU,,Joe Perez,3B,17,R / R,"HS
                    
                    
                    Archbishop McCarthy HS (FL)","$1,265,500","$1,600,000","-$334,500"
2,54,NYY,,Matt Sauer,P,18,R / R,"HS
                    
                    
                    Righetti HS (CA)","$1,236,000","$2,500,000","-$1,264,000"
2,55,SEA,,Sam Carlson,P,18,R / R,"HS
                    
                    
                    Burnsville HS (MN)","$1,206,900","$2,000,000","-$793,100"
2,56,HOU,,Corbin Martin,SP,21,R / R,"CO
                    
                    
                    Texas A&M","$1,178,600","$1,000,000","$178,600"
2,57,DET,,Rey Rivera,OF,20,/,"JC
                    
                    
                    Chipola JC (FL)","$1,148,400","$850,000","$298,400"
2,58,SF,,Jacob Gonzalez,3B,19,L / R,"HS
                    
                    
                    Chaparral HS (AZ)","$1,121,300","$950,000","$171,300"
2,59,NYM,,Mark Vientos,3B,17,R / R,"HS
                    
                    
                    American Heritage HS (FL)","$1,094,700","$1,500,000","-$405,300"
2,60,BAL,,Adam Hall,SS,18,R / R,"HS
                    
                    
                    A.B. Lucas SS (ON)","$1,068,700","$1,300,000","-$231,300"
2,61,TOR,,Hagen Danner,C,18,R / R,"HS
                    
                    
                    Huntington Beach HS (CA)","$1,043,200","$1,500,000","-$456,800"
2,62,LAD,,Morgan Cooper,P,22,/,"CO
                    
                    
                    Texas","$1,018,200","$870,000","$148,200"
2,63,BOS,,Cole Brannen,OF,18,/,"HS
                    
                    
                    The Westfield School (GA)","$993,900","$1,300,000","-$306,100"
2,64,CLE,,Quentin Holmes,OF,18,/,"HS
                    
                    
                    McClancy Memorial HS (NY)","$969,900","$988,970","-$19,070"
2,65,WSH,,Wil Crowe,P,22,R / R,"CO
                    
                    
                    South Carolina","$946,500","$946,500",
2,66,TEX,,Hans Crouse,P,18,L / R,"HS
                    
                    
                    Dana Hills HS (CA)","$926,500","$1,450,000","-$523,500"
2,67,CHC,,Cory Abbott,P,21,R / R,"CO
                    
                    
                    Loyola Marymount","$901,900","$901,900",
2,68,ARI,,Daulton Varsho,CF,21,L / R,"CO
                    
                    
                    Wisconsin-Milwaukee","$880,100","$881,100","-$1,000"
2,69,SD,,Blake Hunt,C,18,/,"HS
                    
                    
                    Mater Dei HS (CA)","$858,600","$1,600,000","-$741,400"
2,70,COL,,Tommy Doyle,P,21,R / R,"CO
                    
                    
                    Virginia","$837,300","$837,300",
2,71,CLE,,Tyler Freeman,SS,18,R / R,"HS
                    
                    
                    Etiwanda HS (CA)","$816,500","$816,500",
2,72,PIT,,Conner Uselton,OF,19,/,"HS
                    
                    
                    Southmoore HS (OK)","$804,000","$900,000","-$96,000"
2,73,KC,,Evan Steele,P,20,/,"JC
                    
                    
                    Chipola JC (FL)","$791,700","$826,500","-$34,800"
2,74,BAL,,Zac Lowther,P,21,L / L,"CO
                    
                    
                    Xavier (OH)","$779,500","$779,500",
2,75,HOU,,J.J. Matijevic,2B,21,L / R,"CO
                    
                    
                    Arizona","$767,400","$700,000","$67,400"
3,76,MIN,,Blayne Enlow,P,18,R / R,"HS
                    
                    
                    St. Amant HS (LA)","$755,400","$2,000,000","-$1,244,600"
3,77,CIN,,Jacob Heatherly,P,19,/,"HS
                    
                    
                    Cullman HS (AL)","$743,900","$1,047,500","-$303,600"
3,78,SD,,Mason House,CF,18,/,"HS
                    
                    
                    Whitehouse HS (TX)","$732,200","$732,200",
3,79,TB,,Taylor Wells,SS,21,/,"CO
                    
                    
                    Florida State","$720,600","$612,500","$108,100"
3,80,ATL,,Freddy Tarnok,P,18,R / R,"HS
                    
                    
                    Riverview HS (FL)","$709,000","$1,445,000","-$736,000"
3,81,OAK,,Nick Allen,SS,18,R / R,"HS
                    
                    
                    Francis Parker HS (CA)","$697,500","$2,000,000","-$1,302,500"
3,82,ARI,,Matt Tabor,P,19,R / R,"HS
                    
                    
                    Milton Academy (MA)","$687,200","$1,000,000","-$312,800"
3,83,PHI,,Connor Seabold,P,21,R / R,"CO
                    
                    
                    California State-Fullerton","$676,900","$525,000","$151,900"
3,84,MIL,,KJ Harrison,C,20,/,"CO
                    
                    
                    Oregon State","$666,600","$666,600",
3,85,LAA,,Jacob Pearson,C,19,L / R,"HS
                    
                    
                    West Monroe HS (LA)","$656,300","$1,000,000","-$343,700"
3,86,COL,,Will Gaddis,P,21,/,"CO
                    
                    
                    Furman (SC)","$646,100","$600,000","$46,100"
3,87,CHW,,Luis Gonzalez,CF,21,L / L,"CO
                    
                    
                    New Mexico","$636,500","$517,000","$119,500"
3,88,PIT,,Dylan Busby,3B,21,/,"CO
                    
                    
                    Florida State","$626,600","$575,000","$51,600"
3,89,MIA,,Riley Mahan,2B,21,/,"CO
                    
                    
                    Kentucky","$616,800","$525,000","$91,800"
3,90,KC,,Daniel Tillo,P,21,L / L,"JC
                    
                    
                    Iowa Western JC","$607,300","$557,500","$49,800"
3,91,HOU,,Tyler Ivey,P,21,R / R,"JC
                    
                    
                    Grayson JC (TX)","$597,800","$450,000","$147,800"
3,92,NYY,,Trevor Stephan,RP,21,R / R,"CO
                    
                    
                    Arkansas","$588,700","$800,000","-$211,300"
3,93,SEA,,Wyatt Mills,P,22,R / R,"CO
                    
                    
                    Gonzaga (WA)","$579,800","$125,000","$454,800"
3,94,STL,,Scott Hurst,CF,21,L / R,"CO
                    
                    
                    California State-Fullerton","$570,900","$450,000","$120,900"
3,95,DET,,Joey Morgan,C,20,/,"CO
                    
                    
                    Washington","$564,000","$564,000",
3,96,SF,,Seth Corry,P,18,L / L,"HS
                    
                    
                    Lone Peak HS (UT)","$558,500","$1,000,000","-$441,500"
3,97,NYM,,Quinn Brodey,RF,21,/,"CO
                    
                    
                    Stanford (CA)","$553,200","$500,000","$53,200"
3,98,BAL,,Mike Baumann,P,21,R / R,"CO
                    
                    
                    Jacksonville","$547,700","$500,000","$47,700"
3,99,TOR,,Riley Adams,C,21,R / R,"CO
                    
                    
                    San Diego (CA)","$542,400","$542,400",
3,100,LAD,,Connor Wong,C,21,R / R,"CO
                    
                    
                    Houston (TX)","$537,100","$550,000","-$12,900"
3,101,BOS,,Brett Netzer,2B,21,/,"CO
                    
                    
                    North Carolina-Charlotte","$532,800","$475,000","$57,800"
