Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,DET,,Spencer Torkelson,3B,20,R / R,"CO
                    
                    
                    Arizona State","$8,415,300","$8,416,300","-$1,000"
1,2,BAL,,Heston Kjerstad,OF,21,/,"CO
                    
                    
                    Arkansas","$7,789,900","$5,200,000","$2,589,900"
1,3,MIA,,Max Meyer,P,21,L / R,"CO
                    
                    
                    Minnesota","$7,221,200","$6,700,000","$521,200"
1,4,KC,,Asa Lacy,P,21,/,"CO
                    
                    
                    Texas A&M","$6,664,000","$6,670,000","-$6,000"
1,5,TOR,,Austin Martin,SS,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$6,180,700","$7,000,825","-$820,125"
1,6,SEA,,Emerson Hancock,P,21,R / R,"CO
                    
                    
                    Georgia","$5,742,900","$5,700,000","$42,900"
1,7,PIT,,Nick Gonzales,SS,21,/,"CO
                    
                    
                    New Mexico State","$5,432,400","$5,432,400",
1,8,SD,,Robert Hassell,OF,18,L / L,"HS
                    
                    
                    Independence HS (TN)","$5,176,900","$4,300,000","$876,900"
1,9,COL,,Zac Veen,OF,18,/,"HS
                    
                    
                    Spruce Creek HS (FL)","$4,949,100","$5,000,000","-$50,900"
1,10,LAA,,Reid Detmers,P,21,L / L,"CO
                    
                    
                    Louisville","$4,739,900","$4,670,000","$69,900"
1,11,CHW,,Garrett Crochet,RP,21,L / L,"CO
                    
                    
                    Tennessee","$4,547,500","$4,547,500",
1,12,CIN,,Austin Hendrick,OF,19,/,"HS
                    
                    
                    West Allegheny HS (PA)","$4,366,400","$4,000,000","$366,400"
1,13,SF,,Patrick Bailey,C,21,/ R,"CO
                    
                    
                    North Carolina State","$4,197,300","$3,800,000","$397,300"
1,14,TEX,,Justin Foscue,2B,21,/,"CO
                    
                    
                    Mississippi State","$4,036,800","$3,250,000","$786,800"
1,15,PHI,,Mick Abel,P,18,/,"HS
                    
                    
                    Jesuit HS (OR)","$3,885,800","$4,075,000","-$189,200"
1,16,CHC,,Ed Howard,SS,17,/,"HS
                    
                    
                    Mount Carmel HS (IL)","$3,745,500","$3,745,500",
1,17,BOS,,Nick Yorke,2B,18,/,"HS
                    
                    
                    Archbishop Mitty HS (CA)","$3,609,700","$2,700,000","$909,700"
1,18,ARI,,Bryce Jarvis,P,22,L / R,"CO
                    
                    
                    Duke","$3,481,300","$2,650,000","$831,300"
1,19,NYM,,Pete Crow-Armstrong,OF,18,/,"HS
                    
                    
                    Harvard-Westlake HS (CA)","$3,359,000","$3,359,000",
1,20,MIL,,Garrett Mitchell,OF,21,L / R,"CO
                    
                    
                    California-Los Angeles","$3,242,900","$3,242,900",
1,21,STL,,Jordan Walker,3B,18,/,"HS
                    
                    
                    Decatur HS (GA)","$3,132,300","$2,900,000","$232,300"
1,22,WSH,,Cade Cavalli,P,21,R / R,"CO
                    
                    
                    Oklahoma","$3,027,000","$3,027,000",
1,23,CLE,,Carson Tucker,SS,18,/,"HS
                    
                    
                    Mountain Pointe HS (AZ)","$2,926,800","$2,000,000","$926,800"
1,24,TB,,Nick Bitsko,P,18,/,"HS
                    
                    
                    Central Bucks HS East (PA)","$2,831,300","$3,000,000","-$168,700"
1,25,ATL,,Jared Shuster,P,21,L / L,"CO
                    
                    
                    Wake Forest (NC)","$2,740,300","$2,197,500","$542,800"
1,26,OAK,,Tyler Soderstrom,C,18,L / R,"HS
                    
                    
                    Turlock HS (CA)","$2,653,400","$3,300,000","-$646,600"
1,27,MIN,,Aaron Sabato,1B,21,/,"CO
                    
                    
                    North Carolina","$2,570,100","$2,750,000","-$179,900"
1,28,NYY,,Austin Wells,C,21,/,"CO
                    
                    
                    Arizona","$2,493,900","$2,500,000","-$6,100"
1,29,LAD,,Bobby Miller,P,21,/,"CO
                    
                    
                    Louisville","$2,424,600","$2,200,000","$224,600"
