Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,CLE,,Travis Bazzana,2B,21,L / R,"CO
                    
                    
                    Oregon State","$10,570,600","$8,950,000","$1,620,600"
1,2,CIN,,Chase Burns,P,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$9,785,000","$9,250,000","$535,000"
1,3,COL,,Charlie Condon,OF,21,R / R,"CO
                    
                    
                    Georgia","$9,070,800","$9,250,000","-$179,200"
1,4,OAK,,Nick Kurtz,1B,21,L / L,"CO
                    
                    
                    Wake Forest (NC)","$8,370,800","$7,000,000","$1,370,800"
1,5,CHW,,Hagen Smith,P,20,L / L,"CO
                    
                    
                    Arkansas","$7,763,700","$8,000,000","-$236,300"
1,6,KC,,Jac Caglianone,TWP,21,L / L,"CO
                    
                    
                    Florida","$7,213,800","$7,497,400","-$283,600"
1,7,STL,,JJ Wetherholt,SS,21,L / R,"CO
                    
                    
                    West Virginia","$6,823,700","$6,900,000","-$76,300"
1,8,LAA,,Christian Moore,2B,21,R / R,"CO
                    
                    
                    Tennessee","$6,502,800","$4,997,500","$1,505,300"
1,9,PIT,,Konnor Griffin,SS,18,R / R,"HS
                    
                    
                    Jackson Prep School (MS)","$6,216,600","$6,532,025","-$315,425"
1,10,WSH,,Seaver King,SS,21,R / R,"CO
                    
                    
                    Wake Forest (NC)","$5,953,800","$5,150,000","$803,800"
1,11,DET,,Bryce Rainer,SS,19,L / R,"HS
                    
                    
                    Harvard-Westlake HS (CA)","$5,712,100","$5,797,500","-$85,400"
1,12,BOS,,Braden Montgomery,OF,21,S / R,"CO
                    
                    
                    Texas A&M","$5,484,600","$5,000,000","$484,600"
1,13,SF,,James Tibbs III,OF,21,L / L,"CO
                    
                    
                    Florida State","$5,272,300","$4,747,500","$524,800"
1,14,CHC,,Cam Smith,3B,21,R / R,"CO
                    
                    
                    Florida State","$5,070,700","$5,070,700",
1,15,SEA,,Jurrangelo Cijntje,P,21,S /,"CO
                    
                    
                    Mississippi State","$4,880,900","$4,880,900",
1,16,MIA,,PJ Morlando,OF,19,L / R,"HS
                    
                    
                    Summerville HS (SC)","$4,704,700","$3,400,000","$1,304,700"
1,17,MIL,,Braylon Payne,OF,17,L / L,"HS
                    
                    
                    Elkins HS (TX)","$4,534,100","$3,440,000","$1,094,100"
1,18,TB,,Theo Gillen,OF,18,L / R,"HS
                    
                    
                    Westlake HS (TX)","$4,372,900","$4,370,400","$2,500"
1,19,NYM,,Carson Benge,OF,21,L / R,"CO
                    
                    
                    Oklahoma State","$4,219,200","$3,997,500","$221,700"
1,20,TOR,,Trey Yesavage,P,20,R / R,"CO
                    
                    
                    East Carolina (NC)","$4,073,400","$4,175,000","-$101,600"
1,21,MIN,,Kaelen Culpepper,SS,21,R / R,"CO
                    
                    
                    Kansas State","$3,934,400","$3,934,400",
1,22,BAL,,Vance Honeycutt,CF,21,R / R,"CO
                    
                    
                    North Carolina","$3,802,200","$4,000,000","-$197,800"
1,23,LAD,,Kellon Lindsey,SS,18,R / R,"HS
                    
                    
                    Hardee HS (FL)","$3,676,400","$3,297,500","$378,900"
1,24,ATL,,Cam Caminiti,P,17,L / L,"HS
                    
                    
                    Saguaro HS (AZ)","$3,556,300","$3,553,800","$2,500"
1,25,SD,,Kash Mayfield,P,19,L / L,"HS
                    
                    
                    Elk City HS (OK)","$3,442,100","$3,442,100",
1,26,NYY,,Ben Hess,P,21,R / R,"CO
                    
                    
                    Alabama","$3,332,900","$2,747,500","$585,400"
1,27,PHI,,Dante Nori,OF,19,L / L,"HS
                    
                    
                    Northville HS (MI)","$3,228,300","$2,497,500","$730,800"
1,28,HOU,,Walker Janek,C,21,R / R,"CO
                    
                    
                    Sam Houston State (TX)","$3,132,500","$3,130,000","$2,500"
1,29,ARI,,Slade Caldwell,OF,18,L / L,"HS
                    
                    
                    Valley View HS (AR)","$3,045,500","$3,087,000","-$41,500"
1,30,TEX,,Malcolm Moore,C,20,L / R,"CO
                    
                    
                    Stanford (CA)","$2,971,300","$3,000,000","-$28,700"
1,31,ARI,PPI,Ryan Waldschmidt,OF,21,R / R,"CO
                    
                    
                    Kentucky","$2,904,000","$2,904,000",
1,32,BAL,PPI,Griff O'Ferrall,SS,21,R / R,"CO
                    
                    
                    Virginia","$2,835,400","$2,697,500","$137,900"
1,33,MIN,Comp.,Kyle DeBarge,SS,21,R / R,"CO
                    
                    
                    Louisiana-Lafayette","$2,766,100","$2,400,000","$366,100"
1,34,MIL,Comp. Bal.                   BAL > MIL,Blake Burke,1B,21,L / L,"CO
                    
                    
                    Tennessee","$2,698,300","$2,100,000","$598,300"
1,35,ARI,Comp. Bal.,JD Dix,SS,18,S / R,"CO
                    
                    
                    Whitefish Bay HS (WI)","$2,632,500","$2,150,000","$482,500"
1,36,CLE,Comp. Bal.,Braylon Doughty,P,18,R / R,"HS
                    
                    
                    Chaparral HS (AZ)","$2,569,200","$2,569,200",
1,37,PIT,Comp. Bal.,Levi Sterling,P,17,R / R,"HS
                    
                    
                    Notre Dame HS (CA)","$2,511,400","$2,508,900","$2,500"
1,38,COL,Comp. Bal.,Brody Brecht,P,21,R / R,"CO
                    
                    
                    Iowa","$2,452,200","$2,700,000","-$247,800"
1,39,WSH,Comp. Bal.                   KC > WSH,Caleb Lomavita,C,21,R / R,"CO
                    
                    
                    California","$2,395,000","$2,325,000","$70,000"
2,40,OAK,,Tommy White,3B,21,R / R,"CO
                    
                    
                    Louisiana State","$2,332,100","$3,000,000","-$667,900"
2,41,KC,,David Shields,P,17,S / L,"HS
                    
                    
                    Mt. Lebanon HS (PA)","$2,278,000","$2,300,000","-$22,000"
2,42,COL,,Jared Thomas,OF,21,L / L,"CO
                    
                    
                    Texas","$2,224,700","$2,000,000","$224,700"
2,43,CHW,,Caleb Bonemer,SS,18,R / R,"HS
                    
                    
                    Okemos HS (MI)","$2,172,800","$2,997,500","-$824,700"
2,44,WSH,,Luke Dickerson,SS,18,R / R,"HS
                    
                    
                    Morris Knolls HS (NJ)","$2,122,200","$3,800,000","-$1,677,800"
2,45,LAA,,Chris Cortez,P,21,R / R,"CO
                    
                    
                    Texas A&M","$2,072,800","$1,597,500","$475,300"
2,46,NYM,,Jonathan Santucci,P,21,L / L,"CO
                    
                    
                    Duke (NC)","$2,031,700","$2,031,700",
2,47,PIT,,Wyatt Sanford,SS,18,L / R,"HS
                    
                    
                    Independence HS (TX)","$1,984,800","$2,497,500","-$512,700"
2,48,CLE,,Jacob Cozart,C,21,L / R,"CO
                    
                    
                    North Carolina State","$1,938,800","$2,050,000","-$111,200"
2,49,DET,,Owen Hall,P,18,R / R,"HS
                    
                    
                    Edmond North HS (OK)","$1,893,700","$1,747,500","$146,200"
2,50,BOS,,Payton Tolle,P,21,L / L,"CO
                    
                    
                    Texas Christian","$1,846,400","$2,000,000","-$153,600"
2,51,CIN,,Tyson Lewis,SS,18,L / R,"HS
                    
                    
                    Millard West HS (NE)","$1,804,900","$3,047,500","-$1,242,600"
2,52,SD,,Boston Bateman,P,18,R / L,"HS
                    
                    
                    Adolfo Camarillo HS (CA)","$1,762,500","$2,500,000","-$737,500"
2,53,NYY,,Bryce Cunningham,P,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$1,721,200","$2,297,500","-$576,300"
2,54,CHC,,Cole Mathis,3B,20,R / R,"CO
                    
                    
                    Charleston (SC)","$1,681,200","$1,681,200",
2,55,SEA,,Ryan Sloan,P,18,R / R,"HS
                    
                    
                    York Community HS (IL)","$1,641,800","$3,000,000","-$1,358,200"
2,56,MIA,,Carter Johnson,SS,18,L / R,"HS
                    
                    
                    Oxford HS (AL)","$1,603,400","$2,800,000","-$1,196,600"
2,57,MIL,,Bryce Meccage,P,18,R / R,"HS
                    
                    
                    The Pennington School (NJ)","$1,562,100","$2,500,000","-$937,900"
2,58,TB,,Emilien Pitre,2B,21,L / R,"CO
                    
                    
                    Kentucky","$1,525,200","$1,522,700","$2,500"
2,59,TOR,,Khal Stephen,P,21,R / R,"CO
                    
                    
                    Mississippi State","$1,489,000","$1,116,750","$372,250"
2,60,MIN,,Billy Amick,3B,21,R / R,"CO
                    
                    
                    Tennessee","$1,453,700","$1,453,700",
2,61,BAL,,Ethan Anderson,C,20,S / R,"CO
                    
                    
                    Virginia","$1,418,900","$1,172,500","$246,400"
2,62,ATL,,Carter Holton,SP,21,L / L,"CO
                    
                    
                    Vanderbilt (TN)","$1,385,000","$1,347,500","$37,500"
2,63,PHI,,Griffin Burkholder,OF,18,R / R,"HS
                    
                    
                    Freedom HS (VA)","$1,352,000","$2,497,500","-$1,145,500"
2,64,ARI,,Ivan Luciano,C,17,L / R,"HS
                    
                    
                    El Shaddai Christian Academy (PR)","$1,319,200","$990,000","$329,200"
2,65,TEX,,Dylan Dreiling,OF,21,L / L,"CO
                    
                    
                    Tennessee","$1,287,600","$1,287,600",
2,66,TB,Comp. Bal.,Tyler Bell,SS,19,S / R,"HS
                    
                    
                    Lincoln Way East HS (IL)","$1,260,200",Unsigned,
2,67,MIL,Comp. Bal.,Chris Levonas,P,18,R / R,"HS
                    
                    
                    Christian Brothers Academy (NJ)","$1,226,800",Unsigned,
